id,title,initiative,author,num_support,num_against,num_abstained,passed,documentcategory,subcategory,topic,Ciudadanos,Más País,PNV,PP,PSOE,CUP,ERC,VOX,EH Bildu,Junts,date,deepseek_7b,falcon3_7b,gemma2_9b,llama3_8b,mistral_7b
110/000013,"Protocolo al Tratado del Atlántico Norte relativo a la adhesión de la República de Montenegro, hecho en Bruselas el 19 de mayo de 2016.","Protocolo al Tratado del Atlántico Norte relativo a la adhesión de la República de Montenegro, hecho en Bruselas el 19 de mayo de 2016.",,257,69,15,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,-1.0,,,,,9/3/2017,1.0,-1.0,0.0,1.0,1.0
110/000014,"Acuerdo entre el Reino de España y el Reino de Bélgica para el intercambio y protección recíproca de información clasificada, hecho en Bruselas el 15 de octubre de 2015.","Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",,324,0,17,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,9/3/2017,-1.0,-1.0,0.0,1.0,1.0
110/000015,"Acuerdo entre el Reino de España y la República de Chipre sobre protección recíproca de información clasificada, hecho en Madrid el 19 de enero de 2016.","Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",,324,0,17,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,9/3/2017,-1.0,-1.0,0.0,1.0,1.0
110/000016,"Acuerdo entre España y Hungría sobre intercambio y protección recíproca de información clasificada, hecho en Budapest el 15 de junio de 2016.","Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",,324,0,17,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,9/3/2017,-1.0,-1.0,0.0,1.0,1.0
110/000017,"Acuerdo entre el Reino de España y el Reino de Arabia Saudí sobre protección mutua de información clasificada en el ámbito de la defensa, hecho en Madrid el 26 de septiembre de 2016.","Acuerdo entre el Reino de España y el Reino de Arabia Saudí sobre protección mutua de información clasificada en el ámbito de la defensa, hecho en Madrid el 26 de septiembre de 2016.",,243,77,21,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,-1,0,1,1,-1.0,,,,,9/3/2017,1.0,-1.0,0.0,1.0,1.0
110/000018,"Tratado sobre asistencia judicial mutua en materia penal entre el Reino de España y la República Socialista de Vietnam, hecho en Madrid el 18 de septiembre de 2015.","Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",,324,0,17,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,9/3/2017,-1.0,-1.0,0.0,1.0,1.0
110/000033,"Convenio de cooperación en materia de lucha contra la delincuencia entre el Reino de España y la República de Níger, hecho en Niamey el 14 de mayo de 2015.","Convenio de cooperación en materia de lucha contra la delincuencia entre el Reino de España y la República de Níger, hecho en Niamey el 14 de mayo de 2015.",,330,0,11,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,29/6/2017,1.0,-1.0,0.0,1.0,1.0
110/000034,"Acuerdo Económico y Comercial Global entre Canadá, por una parte, y la Unión Europea y sus Estados miembros, por otra, hecho en Bruselas el 30 de octubre de 2016.","Acuerdo Económico y Comercial Global entre Canadá, por una parte, y la Unión Europea y sus Estados miembros, por otra, hecho en Bruselas el 30 de octubre de 2016.",,179,72,90,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,0,-1.0,,,,,29/6/2017,1.0,-1.0,0.0,1.0,1.0
110/000034,"Acuerdo Económico y Comercial Global entre Canadá, por una parte, y la Unión Europea y sus Estados miembros, por otra, hecho en Bruselas el 30 de octubre de 2016.","Votación de la Propuesta con consideración de enmienda a la totalidad presentada al Acuerdo Económico y Comercial Global entre Canadá, por una parte, y la Unión Europea y sus Estados miembros, por otra, hecho en Bruselas el 30 de octubre de 2016, por el Grupo Parlamentario Confederal de Unidos Podemos-En Comú Podem-En Marea.",,72,262,7,False,Convenios Internacionales,Autorización de Convenios Internacionales.,,-1.0,-1,-1,-1,-1,1.0,,,,,18/5/2017,1.0,0.0,0.0,1.0,1.0
110/000035,"Acuerdo entre el Reino de España y la Organización Conjunta de Cooperación en Materia de Armamento (OCCAR) para el establecimiento de una Oficina Satélite del Programa A400M en territorio español, hecho en Madrid el 9 de julio de 2014.","Convenio de cooperación en materia de lucha contra la delincuencia entre el Reino de España y la República de Níger, hecho en Niamey el 14 de mayo de 2015.",,330,0,11,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,29/6/2017,1.0,-1.0,0.0,1.0,1.0
110/000036,"Actas, Resoluciones y Recomendaciones de la Unión Postal de las Américas, España y Portugal (UPAEP) adoptadas en La Habana el 13 de septiembre de 2013, durante el XXII Congreso Ordinario de la Unión Postal de las Américas, España y Portugal.","Convenio de cooperación en materia de lucha contra la delincuencia entre el Reino de España y la República de Níger, hecho en Niamey el 14 de mayo de 2015.",,330,0,11,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,29/6/2017,1.0,-1.0,0.0,1.0,1.0
110/000037,Actas aprobadas en Doha el 11 de octubre de 2012 durante el XXV Congreso de la Unión Postal Universal (UPU).,"Convenio de cooperación en materia de lucha contra la delincuencia entre el Reino de España y la República de Níger, hecho en Niamey el 14 de mayo de 2015.",,330,0,11,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,29/6/2017,1.0,-1.0,0.0,1.0,1.0
110/000038,"Modificación del texto y de los anexos II a IX e incorporación de nuevos anexos X y XI al Protocolo al Convenio de 1979 sobre contaminación atmosférica transfronteriza a gran distancia, relativo a la reducción de la acidificación, de la eutrofización y del ozono en la troposfera, adoptada en Ginebra el 4 de mayo de 2012.","Convenio de cooperación en materia de lucha contra la delincuencia entre el Reino de España y la República de Níger, hecho en Niamey el 14 de mayo de 2015.",,330,0,11,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,29/6/2017,1.0,-1.0,0.0,1.0,1.0
110/000039,"Convenio entre el Reino de España y el Estado de Catar para evitar la doble imposición y prevenir la evasión fiscal en materia de impuestos sobre la renta, y su Protocolo, hecho en Madrid el 10 de septiembre de 2015.","Convenio de cooperación en materia de lucha contra la delincuencia entre el Reino de España y la República de Níger, hecho en Niamey el 14 de mayo de 2015.",,330,0,11,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,29/6/2017,1.0,-1.0,0.0,1.0,1.0
110/000040,"Acuerdo por el que se crea la Fundación Internacional UE-ALC (Unión Europea-América Latina y el Caribe), hecho en Santo Domingo el 25 de octubre de 2016.","Convenio de cooperación en materia de lucha contra la delincuencia entre el Reino de España y la República de Níger, hecho en Niamey el 14 de mayo de 2015.",,330,0,11,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,29/6/2017,1.0,-1.0,0.0,1.0,1.0
110/000043,"Acuerdo de diálogo político y de cooperación entre la Unión Europea y sus Estados miembros, por un lado, y la República de Cuba, por otro, hecho en Bruselas el 12 de diciembre de 2016.","Acuerdo de diálogo político y de cooperación entre la Unión Europea y sus Estados miembros, por un lado, y la República de Cuba, por otro, hecho en Bruselas el 12 de diciembre de 2016.",,301,31,9,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,-1.0,1,1,1,1,1.0,,,,,24/10/2017,1.0,-1.0,0.0,1.0,1.0
110/000044,"Acuerdo de préstamo entre el Reino de España y el Fondo Monetario Internacional, hecho en Madrid y Washington el 12 y 30 de mayo de 2017.","Acuerdo de préstamo entre el Reino de España y el Fondo Monetario Internacional, hecho en Madrid y Washington el 12 y 30 de mayo de 2017.",,262,70,9,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,-1.0,,,,,24/10/2017,1.0,-1.0,1.0,1.0,1.0
110/000053,"Acuerdo de Asociación económica preliminar entre Ghana, por una parte, y la Comunidad Europea y sus Estados Miembros, por otra, hecho en Bruselas el 28 de julio de 2016.","Acuerdo de Asociación económica preliminar entre Ghana, por una parte, y la Comunidad Europea y sus Estados Miembros, por otra, hecho en Bruselas el 28 de julio de 2016.",,282,38,30,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,-1.0,0.0,1.0,0.0,0.0,21/2/2019,1.0,0.0,0.0,1.0,1.0
110/000055,"Convenio entre el Reino de España y la República Islámica de Mauritania sobre cooperación en materia de seguridad, hecho 'ad referendum' en Madrid el 26 de mayo de 2015.","Convenio entre el Reino de España y la República Islámica de Mauritania sobre cooperación en materia de seguridad, hecho ""ad referendum"" en Madrid el 26 de mayo de 2015.",,261,69,11,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,-1.0,,,,,15/2/2018,1.0,-1.0,0.0,1.0,1.0
110/000056,"Acuerdo entre el Gobierno del Reino de España y el Gobierno del Japón relativo al Programa de vacaciones y actividades laborales esporádicas, hecho en Tokio el 5 de abril de 2017.","Acuerdo entre el Gobierno del Reino de España y el Gobierno del Japón relativo al Programa de vacaciones y actividades laborales esporádicas, hecho en Tokio el 5 de abril de 2017.",,329,0,12,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,15/2/2018,1.0,-1.0,0.0,1.0,1.0
110/000057,"Acuerdo de Cooperación sobre Asociación y Desarrollo entre la Unión Europea y sus Estados miembros, por una parte, y la República Islámica de Afganistán, por otra, hecho en Múnich el 18 de febrero de 2017.","Acuerdo entre el Gobierno del Reino de España y el Gobierno del Japón relativo al Programa de vacaciones y actividades laborales esporádicas, hecho en Tokio el 5 de abril de 2017.",,329,0,12,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,15/2/2018,1.0,-1.0,0.0,1.0,1.0
110/000058,"Convenio entre el Reino de España y la República de Finlandia para evitar la doble imposición y prevenir la evasión fiscal en materia de impuestos sobre la renta y su Protocolo, hecho en Helsinki el 15 de diciembre de 2015.","Acuerdo entre el Gobierno del Reino de España y el Gobierno del Japón relativo al Programa de vacaciones y actividades laborales esporádicas, hecho en Tokio el 5 de abril de 2017.",,329,0,12,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,15/2/2018,1.0,-1.0,0.0,1.0,1.0
110/000059,"Protocolo de adhesión del Acuerdo Comercial entre la Unión Europea y sus Estados Miembros, por una parte, y Colombia y Perú, por otra, para tener en cuenta la adhesión de Ecuador, hecho en Bruselas el 11 de noviembre de 2016.","Acuerdo entre el Gobierno del Reino de España y el Gobierno del Japón relativo al Programa de vacaciones y actividades laborales esporádicas, hecho en Tokio el 5 de abril de 2017.",,329,0,12,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,15/2/2018,1.0,-1.0,0.0,1.0,1.0
110/000060,"Acuerdo de asociación económica entre la Unión Europea y sus Estados miembros, por una parte, y los Estados del AAE (Acuerdo de Asociación Económica) de la SADC (Comunidad para el Desarrollo del África Meridional), por otra, hecho en Kasane el 10 de junio de 2016.","Acuerdo entre el Gobierno del Reino de España y el Gobierno del Japón relativo al Programa de vacaciones y actividades laborales esporádicas, hecho en Tokio el 5 de abril de 2017.",,329,0,12,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,15/2/2018,1.0,-1.0,0.0,1.0,1.0
110/000061,"Acuerdo sobre traslado de personas condenadas entre el Reino de España y la República de la India, hecho en Madrid el 30 de mayo de 2017.","Acuerdo entre el Gobierno del Reino de España y el Gobierno del Japón relativo al Programa de vacaciones y actividades laborales esporádicas, hecho en Tokio el 5 de abril de 2017.",,329,0,12,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,15/2/2018,1.0,-1.0,0.0,1.0,1.0
110/000062,"Acuerdo entre el Gobierno del Reino de España y el Gobierno de la República de Kazajstán sobre la protección mutua de la información clasificada, hecho en Astaná el 15 de julio de 2017.","Acuerdo entre el Gobierno del Reino de España y el Gobierno del Japón relativo al Programa de vacaciones y actividades laborales esporádicas, hecho en Tokio el 5 de abril de 2017.",,329,0,12,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,15/2/2018,1.0,-1.0,0.0,1.0,1.0
110/000063,"Acuerdo entre el Reino de España y la República del Paraguay sobre transporte aéreo, hecho 'ad referendum' en Madrid el 9 de junio de 2015.","Acuerdo entre el Gobierno del Reino de España y el Gobierno del Japón relativo al Programa de vacaciones y actividades laborales esporádicas, hecho en Tokio el 5 de abril de 2017.",,329,0,12,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,15/2/2018,1.0,-1.0,0.0,1.0,1.0
110/000064,"Acuerdo sobre transporte aéreo entre el Gobierno del Reino de España y el Gobierno de la República Socialista de Vietnam, hecho en Madrid el 9 de diciembre de 2014.","Acuerdo entre el Gobierno del Reino de España y el Gobierno del Japón relativo al Programa de vacaciones y actividades laborales esporádicas, hecho en Tokio el 5 de abril de 2017.",,329,0,12,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,15/2/2018,1.0,-1.0,0.0,1.0,1.0
110/000065,"Convenio sobre transporte aéreo entre el Reino de España y los Estados Unidos Mexicanos, hecho en Madrid el 20 de abril de 2017.","Acuerdo entre el Gobierno del Reino de España y el Gobierno del Japón relativo al Programa de vacaciones y actividades laborales esporádicas, hecho en Tokio el 5 de abril de 2017.",,329,0,12,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,15/2/2018,1.0,-1.0,0.0,1.0,1.0
110/000066,"Acuerdo entre el Reino de España y la República Cooperativa de Guyana sobre supresión recíproca de visados para titulares de pasaportes diplomáticos, hecho en Georgetown el 14 de julio de 2017.","Acuerdo entre el Gobierno del Reino de España y el Gobierno del Japón relativo al Programa de vacaciones y actividades laborales esporádicas, hecho en Tokio el 5 de abril de 2017.",,329,0,12,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,15/2/2018,1.0,-1.0,0.0,1.0,1.0
110/000067,"Acuerdo de seguridad entre el Reino de España y el Gobierno de la República de Sudáfrica sobre protección de información clasificada intercambiada en el marco de la cooperación en materia de defensa, hecho en Madrid el 4 de octubre de 2017.","Acuerdo entre el Gobierno del Reino de España y el Gobierno del Japón relativo al Programa de vacaciones y actividades laborales esporádicas, hecho en Tokio el 5 de abril de 2017.",,329,0,12,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,15/2/2018,1.0,-1.0,0.0,1.0,1.0
110/000081,"Convenio del Consejo de Europa sobre un planteamiento integrado de protección, seguridad y atención en los partidos de fútbol y otros acontecimientos deportivos, hecho en Saint-Denis el 3 de julio de 2016, y Declaraciones que España desea formular.","Convenio del Consejo de Europa sobre un planteamiento integrado de protección, seguridad y atención en los partidos de fútbol y otros acontecimientos deportivos, hecho en Saint-Denis el 3 de julio de 2016, y Declaraciones que España desea formular.",,326,0,15,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,25/9/2018,1.0,0.0,0.0,1.0,1.0
110/000082,"Denuncia del Convenio europeo sobre la violencia e irrupciones de espectadores con motivo de manifestaciones deportivas y especialmente en partidos de fútbol, hecho en Estrasburgo el 19 de agosto de 1985.","Convenio del Consejo de Europa sobre un planteamiento integrado de protección, seguridad y atención en los partidos de fútbol y otros acontecimientos deportivos, hecho en Saint-Denis el 3 de julio de 2016, y Declaraciones que España desea formular.",,326,0,15,True,Convenios Internacionales,Autorización de Convenios Internacionales.,,1.0,1,1,1,1,1.0,,,,,25/9/2018,1.0,0.0,0.0,1.0,1.0
